INFO  2012-06-27 22:47:59,789 39203ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-27 22:48:19,004 58418ms StudyConfigViewModel   OnOKExecute        - ||{*} === OK Command Executed ===
DEBUG 2012-06-27 22:48:40,027 79441ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:48:40,030 79444ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:48:40,031 79445ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-27 22:48:40,031 79445ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-27 22:48:40,033 79447ms MainViewModel          SetLesson          - || == Current Item : 1/160
DEBUG 2012-06-27 22:48:40,562 79976ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-27 22:48:40,563 79977ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-27 22:48:47,565 86978ms MainViewModel          _waitForClose_Tick - ||{*} === Initial Timer For Close Popup === 
INFO  2012-06-27 22:48:47,566 86979ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-27 22:48:47,569 86982ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-27 22:48:47,570 86983ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-27 22:48:47,571 86984ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-27 22:48:52,567 91981ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:48:52,567 91981ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:48:52,568 91982ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-27 22:48:52,568 91982ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-27 22:48:52,623 92037ms MainViewModel          SetLesson          - || == Current Item : 2/160
DEBUG 2012-06-27 22:48:52,826 92240ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-27 22:48:52,826 92240ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-27 22:48:59,822 99235ms MainViewModel          _waitForClose_Tick - ||{*} === Initial Timer For Close Popup === 
INFO  2012-06-27 22:48:59,823 99236ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-27 22:48:59,824 99237ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-27 22:48:59,825 99238ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-27 22:48:59,826 99239ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-27 22:49:04,832 104245ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:49:04,832 104245ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:49:04,833 104246ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-27 22:49:04,833 104246ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-27 22:49:04,963 104376ms MainViewModel          SetLesson          - || == Current Item : 3/160
DEBUG 2012-06-27 22:49:05,134 104547ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-27 22:49:05,134 104547ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-27 22:49:12,136 111550ms MainViewModel          _waitForClose_Tick - ||{*} === Initial Timer For Close Popup === 
INFO  2012-06-27 22:49:12,136 111550ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-27 22:49:12,137 111551ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-27 22:49:12,138 111552ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-27 22:49:12,139 111553ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-27 22:49:17,139 116552ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:49:17,139 116552ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:49:17,140 116553ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-27 22:49:17,140 116553ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-27 22:49:17,324 116737ms MainViewModel          SetLesson          - || == Current Item : 4/160
DEBUG 2012-06-27 22:49:17,515 116928ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-27 22:49:17,515 116928ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-27 22:49:24,516 123930ms MainViewModel          _waitForClose_Tick - ||{*} === Initial Timer For Close Popup === 
INFO  2012-06-27 22:49:24,516 123930ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-27 22:49:24,518 123932ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-27 22:49:24,518 123932ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-27 22:49:24,519 123933ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-27 22:49:29,526 128940ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:49:29,526 128940ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:49:29,527 128941ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-27 22:49:29,527 128941ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-27 22:49:29,612 129026ms MainViewModel          SetLesson          - || == Current Item : 5/160
DEBUG 2012-06-27 22:49:29,770 129184ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-27 22:49:29,770 129184ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-27 22:49:36,771 136184ms MainViewModel          _waitForClose_Tick - ||{*} === Initial Timer For Close Popup === 
INFO  2012-06-27 22:49:36,771 136184ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-27 22:49:36,772 136185ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-27 22:49:36,773 136186ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-27 22:49:36,773 136186ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

INFO  2012-06-27 22:57:48,854 49957ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-27 22:58:23,265 84368ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-27 22:58:33,047 94151ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-27 22:58:45,063 106167ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-27 22:58:45,068 106172ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-27 22:58:45,068 106172ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
