INFO  2012-06-28 10:30:16,982  5395ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-28 10:30:28,949 17362ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-28 10:30:31,083 19495ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-28 10:30:43,128 31541ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 10:30:43,144 31557ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 10:30:43,144 31557ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 10:30:43,144 31557ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 10:30:43,144 31557ms MainViewModel          SetLesson          - || == Current Item : 1/160
DEBUG 2012-06-28 10:30:43,661 32074ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 10:30:43,661 32074ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 10:34:15,268  6008ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-28 10:34:28,990 19730ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-28 10:34:31,150 21889ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-28 10:34:43,166 33905ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 10:34:43,166 33905ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 10:34:43,166 33905ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 10:34:43,166 33905ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 10:34:43,166 33905ms MainViewModel          SetLesson          - || == Current Item : 1/160
DEBUG 2012-06-28 10:34:44,402 35141ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 10:34:44,402 35141ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 10:34:46,045 36784ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-06-28 10:34:46,170 36909ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-06-28 10:34:46,405 37144ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-06-28 10:34:47,234 37973ms MainViewModel          CancelExecute      - ||{*} === Cancel Command Executed === 
INFO  2012-06-28 10:34:47,719 38458ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
DEBUG 2012-06-28 10:34:51,130 41869ms MainViewModel          oseTimerPopup>b__2 - || == Popup is current Stoped
DEBUG 2012-06-28 10:34:51,130 41869ms MainViewModel          oseTimerPopup>b__2 - || ==> CloseTimerPopup
DEBUG 2012-06-28 10:34:51,130 41869ms MainViewModel          oseTimerPopup>b__2 - || == Timer tick (_timerPopup) Status : False
INFO  2012-06-28 10:59:40,879  6563ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-28 10:59:49,021 14705ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-28 10:59:51,068 16753ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-28 11:00:03,086 28771ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:00:03,086 28771ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:00:03,086 28771ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:03,086 28771ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:03,086 28771ms MainViewModel          SetLesson          - || == Current Item : 1/160
DEBUG 2012-06-28 11:00:03,352 29036ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:03,352 29036ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:10,353 36038ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:10,353 36038ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:10,353 36038ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:00:10,353 36038ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:10,353 36038ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:00:15,354 41039ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:00:15,354 41039ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:00:15,354 41039ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:15,354 41039ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:15,370 41054ms MainViewModel          SetLesson          - || == Current Item : 2/160
DEBUG 2012-06-28 11:00:15,479 41164ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:15,479 41164ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:22,480 48165ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:22,480 48165ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:22,480 48165ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :6
DEBUG 2012-06-28 11:00:22,480 48165ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:22,480 48165ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:12
DEBUG 2012-06-28 11:00:27,481 53166ms MainViewModel          _timer_Tick        - || == TimeOut :12
DEBUG 2012-06-28 11:00:27,591 53275ms MainViewModel          SetLesson          - || == Current Item : 3/160
DEBUG 2012-06-28 11:00:27,716 53400ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-28 11:00:27,716 53400ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-28 11:00:34,717 60402ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-28 11:00:34,717 60402ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-28 11:00:34,717 60402ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-28 11:00:39,718 65403ms MainViewModel          _timer_Tick        - || =============Summary=============
