INFO  2012-06-30 01:06:45,985 212245ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-06-30 01:06:53,901 220160ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-06-30 01:06:55,130 221389ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-06-30 01:07:10,141 236400ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:07:10,146 236405ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:07:10,147 236406ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:07:10,147 236406ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:07:10,150 236409ms MainViewModel          SetLesson          - || == Current Item : 1/50
DEBUG 2012-06-30 01:07:10,417 236676ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:07:10,417 236676ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:07:18,409 244668ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:07:18,409 244668ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-06-30 01:07:18,411 244670ms MainViewModel          <WaitBalloon>b__1  - || == View Timer :7
DEBUG 2012-06-30 01:07:18,411 244670ms MainViewModel          <WaitBalloon>b__1  - || ==> Popup Closed.......
DEBUG 2012-06-30 01:07:18,411 244670ms MainViewModel          <WaitBalloon>b__1  - || ================================= 

DEBUG 2012-06-30 01:07:25,411 251671ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-06-30 01:07:25,411 251671ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-06-30 01:07:25,411 251671ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-06-30 01:07:25,412 251672ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-06-30 01:07:25,492 251752ms MainViewModel          SetLesson          - || == Current Item : 2/50
DEBUG 2012-06-30 01:07:25,588 251848ms MainViewModel          _timer_Tick        - || =================================

DEBUG 2012-06-30 01:07:25,588 251848ms MainViewModel          _timer_Tick        - || ==> Is Popup Showing
INFO  2012-06-30 01:07:33,586 259845ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-06-30 01:07:33,586 259845ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
