This is HeaderINFO  2012-07-04 09:48:53,144  6547ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:49:10,068 23472ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
INFO  2012-07-04 09:49:55,497 68900ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:50:18,609 92012ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
INFO  2012-07-04 09:50:19,797 93200ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:52:21,158 214561ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
This is HeaderINFO  2012-07-04 09:54:34,545  6531ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:54:46,452 18438ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-04 09:55:10,891 42877ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-04 09:55:25,892 57878ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 09:55:25,892 57878ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 09:55:25,892 57878ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-07-04 09:55:25,892 57878ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-07-04 09:55:25,892 57878ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-04 09:55:26,252 58238ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 09:55:26,267 58253ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 09:55:31,252 63238ms MainViewModel          _waitForClose_Tick - || {*} === Initial Timer For Close Popup === 
INFO  2012-07-04 09:55:31,252 63238ms MainViewModel          _waitForClose_Tick - || ==> WaitBalloon() methods started 
DEBUG 2012-07-04 09:55:31,252 63238ms MainViewModel          <WaitBalloon>b__3  - || == View Timer :4
DEBUG 2012-07-04 09:55:31,268 63254ms MainViewModel          <WaitBalloon>b__3  - || ==> Popup Closed.......
DEBUG 2012-07-04 09:55:31,268 63254ms MainViewModel          <WaitBalloon>b__3  - || ================================= 

This is HeaderINFO  2012-07-04 09:55:45,550  8703ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:56:01,004 24157ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
This is FooterThis is HeaderINFO  2012-07-04 09:58:42,810  6812ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 09:59:33,672 57674ms StudyConfigViewModel   OnOKExecute        - || {*} === OK Command Executed ===
INFO  2012-07-04 10:00:27,752 111754ms MainViewModel          Initialize         - || {*} === Initialize MainViewModel ===
DEBUG 2012-07-04 10:00:42,752 126754ms MainViewModel          _timer_Tick        - || =============Summary=============
DEBUG 2012-07-04 10:00:42,752 126754ms MainViewModel          _timer_Tick        - || == Timer tick : True
DEBUG 2012-07-04 10:00:42,752 126754ms MainViewModel          _timer_Tick        - || == TimerPopup.Interval :00:00:15
DEBUG 2012-07-04 10:00:42,752 126754ms MainViewModel          _timer_Tick        - || == TimeOut :15
DEBUG 2012-07-04 10:00:42,752 126754ms MainViewModel          SetLesson          - || == Current Item : 1/93
DEBUG 2012-07-04 10:00:43,065 127067ms MainViewModel          <_timer_Tick>b__1  - || =================================

DEBUG 2012-07-04 10:00:43,065 127067ms MainViewModel          <_timer_Tick>b__1  - || ==> Is Popup Showing
INFO  2012-07-04 10:00:44,065 128067ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-04 10:00:44,096 128098ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
INFO  2012-07-04 10:00:44,268 128270ms MainViewModel          eEnterExecute>b__0 - ||{*} === Fancy Ballon Mouse Enter Command Executed === 
INFO  2012-07-04 10:00:45,331 129333ms MainViewModel          CancelExecute      - ||{*} === Cancel Command Executed === 
INFO  2012-07-04 10:00:45,721 129723ms MainViewModel          nMouseLeaveExecute - ||{*} === Fancy Ballon Mouse Leave  Command Executed === 
DEBUG 2012-07-04 10:00:47,034 131036ms MainViewModel          oseTimerPopup>b__4 - || == Popup is current Stoped
DEBUG 2012-07-04 10:00:47,034 131036ms MainViewModel          oseTimerPopup>b__4 - || ==> CloseTimerPopup
DEBUG 2012-07-04 10:00:47,034 131036ms MainViewModel          oseTimerPopup>b__4 - || == Timer tick (_timerPopup) Status : False
INFO  2012-07-04 10:00:48,268 132270ms StudyConfigViewModel   InitialData        - || {*} === InitialData ===
INFO  2012-07-04 10:00:58,863 142865ms StudyConfigViewModel   OnCancelExecute    - || {*} === Cancel Command Executed ===
